lon	lat	2011-2040_PRCPTOT JJA (mm)_RCP45	2011-2040_PRCPTOT JJA (mm)_RCP85	2011-2040_TX30 (days)_RCP45	2011-2040_TX30 (days)_RCP85	2011-2040_PR95PERC (%)_RCP45	2011-2040_PR95PERC (%)_RCP85	2041-2070_PRCPTOT JJA (mm)_RCP45	2041-2070_PRCPTOT JJA (mm)_RCP85	2041-2070_TX30 (days)_RCP45	2041-2070_TX30 (days)_RCP85	2041-2070_PR95PERC (%)_RCP45	2041-2070_PR95PERC (%)_RCP85	2071-2100_PRCPTOT JJA (mm)_RCP45	2071-2100_PRCPTOT JJA (mm)_RCP85	2071-2100_TX30 (days)_RCP45	2071-2100_TX30 (days)_RCP85	2071-2100_PR95PERC (%)_RCP45	2071-2100_PR95PERC (%)_RCP85
9,6009	45,7098	-36	-26	7	5	7	5	-130	-112	24	32	10	7	-85	-204	29	63	10	23
9,7030	45,7101	-43	-24	6	5	2	7	-140	-116	21	29	8	8	-95	-207	27	61	9	21
9,8051	45,7103	-42	-20	5	4	2	7	-140	-125	20	27	7	8	-78	-207	26	59	10	21
9,9072	45,7105	-41	-24	5	4	3	7	-141	-125	18	26	7	7	-85	-207	25	57	10	24
10,0093	45,7105	-43	-21	4	3	1	7	-143	-121	15	22	6	13	-80	-201	22	52	12	29
10,1114	45,7104	-86	-58	2	2	0	4	-171	-161	9	15	5	7	-113	-240	13	43	11	24
10,2135	45,7103	-54	-31	1	1	3	8	-143	-127	4	9	7	13	-79	-210	7	32	14	32
10,3156	45,7100	-60	-30	0	0	-1	9	-152	-143	3	6	4	12	-98	-230	5	27	14	31
10,4177	45,7097	-56	-17	0	0	2	13	-150	-146	3	6	10	12	-101	-237	5	27	15	36
10,5198	45,7092	-33	-31	1	1	2	13	-152	-140	5	9	11	15	-94	-240	8	33	12	34
10,6219	45,7087	-24	-16	1	1	4	13	-107	-106	6	11	16	16	-69	-186	9	36	18	31
10,7240	45,7080	33	-16	0	0	-1	9	-90	-83	2	3	10	14	-18	-163	3	22	18	29
10,8261	45,7073	-28	-22	1	0	3	14	-97	-94	4	8	16	18	-77	-165	7	31	14	34
10,9282	45,7065	-34	-14	0	0	3	15	-98	-92	2	4	18	16	-80	-165	3	23	18	31
11,0303	45,7055	-41	-26	0	0	0	12	-99	-92	1	2	15	15	-87	-164	1	17	19	28
11,1324	45,7045	-44	-29	0	0	-2	9	-123	-118	1	2	9	12	-109	-204	1	17	12	29
11,2345	45,7034	-51	-36	0	0	-1	10	-182	-182	3	5	11	13	-150	-274	4	26	15	35
11,3365	45,7021	-64	-47	2	1	1	7	-193	-214	9	15	11	16	-155	-281	15	44	13	31
11,4386	45,7008	-55	-39	4	4	3	10	-164	-173	20	28	16	17	-126	-239	26	58	15	31
11,5407	45,6994	-40	-27	6	5	7	14	-126	-141	25	32	16	13	-96	-187	30	63	16	33
11,6427	45,6979	-25	-3	6	6	4	12	-104	-116	26	34	12	14	-73	-153	32	65	14	28
11,7448	45,6962	-23	-2	8	7	5	14	-96	-104	28	35	13	18	-71	-136	33	64	17	29
11,8468	45,6945	-23	-6	9	7	8	18	-96	-101	31	37	15	19	-75	-131	35	66	18	34
11,9489	45,6927	-9	3	10	8	9	20	-80	-88	33	37	16	20	-66	-118	35	66	19	36
12,0509	45,6908	-6	1	10	8	15	23	-83	-80	32	37	19	27	-62	-112	35	66	23	38
12,1530	45,6888	-5	0	10	8	16	21	-79	-76	32	36	20	25	-60	-106	35	66	26	41
12,2550	45,6867	-11	-10	9	9	12	15	-79	-78	31	36	17	24	-61	-106	35	67	22	37
12,3570	45,6845	-16	-14	10	9	10	11	-78	-81	31	36	17	22	-65	-103	35	66	20	40
12,4590	45,6822	-22	-16	10	9	6	12	-77	-75	30	34	15	17	-63	-105	34	65	15	33
12,5610	45,6798	-22	-15	10	8	5	12	-69	-68	30	34	10	20	-60	-97	34	64	17	32
12,6630	45,6773	-16	-9	10	8	5	13	-63	-61	30	35	10	19	-56	-94	35	65	16	30
12,7649	45,6747	-7	-1	9	7	2	8	-51	-52	29	34	8	21	-44	-84	34	64	16	27
12,8669	45,6720	-7	-4	8	7	-1	5	-49	-52	26	32	9	20	-38	-80	33	64	17	29
12,9689	45,6692	-6	-2	7	7	1	2	-48	-49	24	30	12	20	-33	-74	31	63	19	30
13,0708	45,6663	0	8	7	7	3	7	-44	-42	24	30	15	22	-27	-67	30	63	22	34
13,7841	45,6434	-10	-2	6	5	4	10	-73	-64	20	25	14	11	-61	-109	26	57	10	26
13,8860	45,6397	-2	-2	3	4	4	9	-79	-69	16	22	11	11	-68	-117	22	51	7	28
6,8415	45,7353	13	-4	0	0	-1	5	-25	-77	0	0	6	8	-65	-176	0	0	8	11
6,9435	45,7383	9	-6	0	0	-1	5	-24	-88	0	0	8	8	-76	-181	0	0	9	13
7,0456	45,7412	-14	-30	0	0	-3	5	-44	-112	0	0	7	9	-100	-204	0	3	9	17
7,1477	45,7439	-52	-47	0	0	-5	6	-65	-129	0	1	6	10	-120	-212	0	12	9	15
7,2498	45,7466	-31	-30	0	0	-6	6	-58	-103	1	3	7	10	-90	-173	2	19	12	16
7,3519	45,7492	-42	-34	0	0	-5	7	-52	-101	2	5	10	12	-91	-164	3	23	14	16
7,4541	45,7517	-54	-46	1	1	-7	4	-77	-114	2	5	7	9	-103	-178	4	24	15	17
7,5562	45,7541	-33	-27	0	0	-4	5	-88	-112	1	3	5	11	-84	-168	2	18	16	18
7,6583	45,7564	-39	-19	0	0	-3	5	-90	-117	0	1	10	10	-98	-204	0	8	18	21
7,7605	45,7585	-51	-15	0	0	-5	6	-98	-130	0	0	8	9	-108	-229	0	2	18	20
7,8627	45,7606	-72	-14	0	0	-3	9	-110	-139	0	0	10	11	-113	-239	0	1	21	21
7,9648	45,7626	-81	-15	0	0	-3	12	-158	-175	0	0	13	13	-167	-296	0	2	23	24
8,0670	45,7645	-82	-17	0	0	-1	14	-219	-256	0	0	14	11	-228	-395	0	8	24	28
8,1692	45,7663	-85	-19	0	0	-1	14	-180	-230	2	4	16	10	-215	-373	3	23	24	33
8,2714	45,7680	-90	-12	1	1	0	13	-155	-186	5	11	10	4	-199	-316	9	38	20	27
8,3736	45,7696	-84	-9	3	3	0	9	-149	-173	13	21	10	4	-160	-280	19	50	15	25
8,4758	45,7711	-64	-9	7	5	1	9	-129	-142	21	31	12	7	-118	-226	28	60	18	28
8,5780	45,7725	-62	-4	9	7	0	6	-128	-134	28	36	6	5	-117	-220	33	66	8	24
8,6802	45,7739	-41	-14	9	7	1	4	-126	-128	29	37	0	7	-109	-209	34	66	8	24
8,7824	45,7751	-40	-15	9	6	4	6	-123	-123	28	35	4	13	-105	-200	32	65	10	24
8,8847	45,7762	-44	-13	8	6	5	6	-118	-117	25	34	4	12	-109	-196	31	62	7	25
8,9869	45,7772	-50	-26	7	5	2	4	-119	-116	21	30	8	13	-101	-198	27	60	10	25
9,0891	45,7781	-50	-31	7	5	2	5	-124	-125	21	29	8	11	-86	-195	28	59	9	26
